"Licenses on machine (DES-PC) for john adam (desadam) on 13 February 2026"
"Valid Locations","Product Name","Publisher Name","Subtype","Expiration Date","Deposit Date","Type","License Status","License Period","Launch Count","Activation Location","Owner","Activations","Activate By Date","Group Name","Allocated Seats","Total Seats","Activation Status","Publisher License ID",
"iLok (2nd generation and later), your computer","Tape","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Doom Chvrch","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Tube-Tech Classic Channel mk II","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Drawmer S73 Intelligent Master Processor","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-MINI-PC, DES-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Marshall Guvnor","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Pacific Dual Tremolo 100W Black","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","JJB Chorus","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","British Class A Compressor","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Bass Octave","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Spring Reverb","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-MINI-PC, DES-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","EQNas","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Widener","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-MINI-PC, DES-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Equalizers","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-MINI-PC, DES-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Fix Phaser","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Tube-Tech Blue Tone","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Brask Boost","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-MINI-PC, DES-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","British Class A","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-MINI-PC, DES-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Transient Shaper","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","OPTO Compressor","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-MINI-PC, DES-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Weiss EQ MP","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Tube-Tech Equalizers mk II","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Tube Delay","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Model 82 Sequencing Mono Synth","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Summit Audio TLA-100A","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-MINI-PC, DES-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Valley People Dyna-mite","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Model 72 Synthesizer System","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Amp Room Vintage Suite","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Overstayer M-A-S","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Layers","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Passive-Active Pack","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Bad Speaker","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-MINI-PC, DES-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Filbyter Fuzz","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Acoustic Feedback","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","American Class A","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Core Vintage Equalizers","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-MINI-PC, DES-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Dirty Tape","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Clipper","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Empirical Labs Mike-E Comp","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-MINI-PC, DES-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Empirical Labs Lil FrEQ","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Vocal Tuner","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-MINI-PC, DES-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Weiss Gambit Series for Console 1","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Weiss EQ1","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-MINI-PC, DES-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Model 77 Dual Layer Synth","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","British Class A Drive","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Tube-Tech SMC 2B","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Tonelux Tilt and Tilt Live","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Amp Room","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Model 84 Chorus","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Tinnero","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Empirical Labs Trak Pak for Console 1","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Model 72 Envelope Filter","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-MINI-PC, DES-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Tube-Tech CL 1B mk II","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Drawmer 1976 Three Band Saturator","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Fix Flanger and Doubler","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-MINI-PC, DES-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Drawmer 1973 Multi-Band Compressor","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Chandler Limited Curve Bender","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Echoes","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-MINI-PC, DES-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Model 80 Five Voice Synthesizer","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-MINI-PC, DES-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Bus Processor","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-MINI-PC, DES-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Console 1 Core Mixing Suite","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","VCA Compressor","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Tape Echoes","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Wasted Space","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","TSAR-1 Reverb","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Kraft","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-PC, DES-MINI-PC","You","2 of 3 activations used","","","","0","Active","",
"iLok (2nd generation and later), your computer","Amp Room Marshall JCM800 Suite","Softube AB","Product","03/02/2026 12:00","03/09/2025 16:47","Subscription","Expired","","","DES-MINI-PC, DES-PC","You","2 of 3 activations used","","","","0","Active","",
